Name,DateTime,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_PM10,AQI_PM2.5,AQI_Site,Time
Monash,07/15/2019,,5,32,38,4,14,38,24
Civic,07/15/2019,,,27,33,8,16,33,24
Florey,07/15/2019,1,10,29,36,7,11,36,24
Monash,07/14/2019,,2,31,38,4,10,38,24
Florey,07/14/2019,1,2,29,36,7,12,36,24
Civic,07/14/2019,,,27,33,7,14,33,24
Monash,07/13/2019,,5,32,39,9,12,39,24
Florey,07/13/2019,1,1,32,39,15,10,39,24
Civic,07/13/2019,,,29,36,15,15,36,24
Civic,07/12/2019,,,26,33,19,13,33,24
Florey,07/12/2019,1,0,28,35,21,14,35,24
Monash,07/12/2019,,1,29,35,13,12,35,24
Monash,07/11/2019,,1,31,38,10,24,38,24
Florey,07/11/2019,1,2,30,37,11,12,37,24
Civic,07/11/2019,,,27,32,13,12,32,24
Monash,07/10/2019,,13,29,34,18,42,42,24
Florey,07/10/2019,3,9,27,32,14,21,32,24
Civic,07/10/2019,,,22,25,11,12,25,24
Monash,07/09/2019,,14,29,36,19,42,42,24
Florey,07/09/2019,5,16,27,34,18,30,34,24
Civic,07/09/2019,,,24,28,12,22,28,24
Civic,07/08/2019,,,20,23,17,22,23,24
Florey,07/08/2019,8,13,23,28,43,78,78,24
Monash,07/08/2019,,13,27,34,34,81,81,24
Civic,07/07/2019,,,23,27,19,28,28,24
Florey,07/07/2019,13,14,28,33,45,93,93,24
Monash,07/07/2019,,18,25,31,39,98,98,24
Florey,07/06/2019,8,17,31,38,15,22,38,24
Civic,07/06/2019,,,28,32,14,20,32,24
Monash,07/06/2019,,20,30,37,23,61,61,24
Civic,07/05/2019,,,21,26,26,29,29,24
Monash,07/05/2019,,15,27,34,29,71,71,24
Florey,07/05/2019,5,18,27,31,29,54,54,24
Monash,07/04/2019,,18,29,36,29,71,71,24
Civic,07/04/2019,,,24,29,28,31,31,24
Florey,07/04/2019,7,16,28,34,33,62,62,24
Monash,07/03/2019,,13,30,37,39,94,94,24
Civic,07/03/2019,,,25,30,24,31,31,24
Florey,07/03/2019,6,18,31,36,34,60,60,24
Civic,07/02/2019,,,19,22,28,33,33,24
Florey,07/02/2019,11,19,24,29,36,64,64,24
Monash,07/02/2019,,21,22,25,43,97,97,24
Civic,07/01/2019,,,17,19,21,23,23,24
Florey,07/01/2019,4,14,25,29,16,33,33,24
Monash,07/01/2019,,18,23,24,33,69,69,24
Civic,06/30/2019,,,168,75,20,10,168,24
Monash,06/30/2019,,13,32,38,42,97,97,24
Florey,06/30/2019,1,8,31,38,37,50,50,24
Civic,06/29/2019,,,169,76,28,32,169,24
Florey,06/29/2019,13,13,27,31,40,72,72,24
Monash,06/29/2019,,12,26,33,54,126,126,24
Florey,06/28/2019,14,18,26,32,37,68,68,24
Civic,06/28/2019,,,169,71,26,32,169,24
Monash,06/28/2019,,20,27,30,44,107,107,24
Monash,06/27/2019,,24,27,33,37,84,84,24
Civic,06/27/2019,,,20,24,22,26,26,24
Florey,06/27/2019,10,18,28,32,33,56,56,24
Civic,06/26/2019,,,26,30,26,30,30,24
Florey,06/26/2019,10,19,31,37,32,54,54,24
Monash,06/26/2019,,20,30,37,25,58,58,24
Monash,06/25/2019,,19,29,35,21,45,45,24
Florey,06/25/2019,6,21,31,36,20,37,37,24
Civic,06/25/2019,,,20,24,23,27,27,24
Florey,06/24/2019,3,17,27,34,13,19,34,24
Civic,06/24/2019,,,22,27,14,13,27,24
Monash,06/24/2019,,20,28,35,7,12,35,24
Monash,06/23/2019,,5,29,36,16,30,36,24
Civic,06/23/2019,,,25,31,17,22,31,24
Florey,06/23/2019,5,15,28,35,31,57,57,24
Monash,06/22/2019,,18,29,36,16,52,52,24
Florey,06/22/2019,9,19,29,36,36,76,76,24
Civic,06/22/2019,,,25,31,18,30,31,24
Civic,06/21/2019,,,21,23,28,45,45,24
Monash,06/21/2019,,17,30,35,,71,71,24
Florey,06/21/2019,8,16,24,28,33,65,65,24
Civic,06/20/2019,,,21,22,20,34,34,24
Florey,06/20/2019,10,20,26,31,33,66,66,24
Monash,06/20/2019,,20,27,32,19,43,43,24
Florey,06/19/2019,5,17,26,30,18,38,38,24
Monash,06/19/2019,,18,26,32,17,38,38,24
Civic,06/19/2019,,,20,24,18,31,31,24
Florey,06/18/2019,5,14,24,27,25,49,49,24
Monash,06/18/2019,,12,26,30,19,43,43,24
Civic,06/18/2019,,,19,23,21,27,27,24
Florey,06/17/2019,9,17,26,32,29,59,59,24
Civic,06/17/2019,,,23,27,22,39,39,24
Monash,06/17/2019,,17,26,33,30,82,82,24
Florey,06/16/2019,10,14,25,28,35,73,73,24
Monash,06/16/2019,,18,23,26,37,91,91,24
Civic,06/16/2019,,,22,24,23,38,38,24
Florey,06/15/2019,9,10,16,19,25,57,57,24
Monash,06/15/2019,,14,16,20,36,84,84,24
Civic,06/15/2019,,,15,18,21,27,27,24
Civic,06/14/2019,,,22,24,19,30,30,24
Florey,06/14/2019,4,15,26,31,19,29,31,24
Monash,06/14/2019,,18,25,28,27,49,49,24
Florey,06/13/2019,1,11,28,34,39,62,62,24
Monash,06/13/2019,,14,29,36,36,75,75,24
Civic,06/13/2019,,,25,31,26,25,31,24
Monash,06/12/2019,,9,24,28,55,110,110,24
Civic,06/12/2019,,,22,25,31,38,38,24
Florey,06/12/2019,14,10,23,26,40,81,81,24
Civic,06/11/2019,,,24,27,18,23,27,24
Monash,06/11/2019,,18,25,28,25,42,42,24
Florey,06/11/2019,8,15,24,28,18,33,33,24
